;ACCIMT Observatory;	ACCIMT Observatory
877;Okutama;	Okutama [code 877]
878;Kagiya;	Kagiya [code 878]
879;Tokai;	Tokai [code 879]
880;Rio de Janeiro;	Rio de Janeiro [code 880]
881;Toyota;	Toyota [code 881]
882;JCPM Oi Station;	JCPM Oi Station [code 882]
883;Shizuoka;	Shizuoka [code 883]
884;Kawane;	Kawane [code 884]
885;JCPM Yakiimo Station;	JCPM Yakiimo Station [code 885]
886;Mishima;	Mishima [code 886]
887;Ojima;	Ojima [code 887]
888;Gekko;	Gekko [code 888]
889;Karasuyama;	Karasuyama [code 889]
890;JCPM Tone Station;	JCPM Tone Station [code 890]
891;JCPM Kimachi Station;	JCPM Kimachi Station [code 891]
892;YGCO Hoshikawa and Nagano Stations;	YGCO Hoshikawa and Nagano Stations [code 892]
893;Sendai Municipal Observatory;	Sendai Municipal Observatory [code 893]
894;Kiyosato;	Kiyosato [code 894]
895;Hatamae;	Hatamae [code 895]
896;Yatsugatake South Base Observatory;	Yatsugatake South Base Observatory [code 896]
897;YGCO Chiyoda Station;	YGCO Chiyoda Station [code 897]
898;Fujieda;	Fujieda [code 898]
899;Toma;	Toma [code 899]
900;Moriyama;	Moriyama [code 900]
901;Tajimi;	Tajimi [code 901]
902;Ootake;	Ootake [code 902]
903;Fukuchiyama and Kannabe;	Fukuchiyama and Kannabe [code 903]
904;Go-Chome and Kobe-Suma;	Go-Chome and Kobe-Suma [code 904]
905;Nachi-Katsuura Observatory;	Nachi-Katsuura Observatory [code 905]
906;Cobram;	Cobram [code 906]
907;Melbourne;	Melbourne [code 907]
908;Toyama;	Toyama [code 908]
909;Snohomish Hilltop Observatory;	Snohomish Hilltop Observatory [code 909]
910;Caussols-ODAS;	Caussols-ODAS [code 910]
911;Collins Observatory, Corning Community College;	Collins Observatory, Corning Community College [code 911]
912;Carbuncle Hill Observatory, Greene;	Carbuncle Hill Observatory, Greene [code 912]
913;Observatorio Kappa Crucis, Montevideo;	Observatorio Kappa Crucis, Montevideo [code 913]
914;Underwood Observatory, Hubbardston;	Underwood Observatory, Hubbardston [code 914]
915;River Oaks Observatory, New Braunfels;	River Oaks Observatory, New Braunfels [code 915]
916;Oakley Observatory, Terre Haute;	Oakley Observatory, Terre Haute [code 916]
917;Pacific Lutheran University Keck Observatory;	Pacific Lutheran University Keck Observatory [code 917]
918;Badlands Observatory, Quinn;	Badlands Observatory, Quinn [code 918]
919;Desert Beaver Observatory;	Desert Beaver Observatory [code 919]
920;RIT Observatory, Rochester;	RIT Observatory, Rochester [code 920]
921;SW Institute for Space Research, Cloudcroft;	SW Institute for Space Research, Cloudcroft [code 921]
922;Timberland Observatory, Decatur;	Timberland Observatory, Decatur [code 922]
923;The Bradstreet Observatory, St. Davids;	The Bradstreet Observatory, St. Davids [code 923]
924;Observatoire du Cegep de Trois-Rivieres;	Observatoire du Cegep de Trois-Rivieres [code 924]
925;Palominas Observatory;	Palominas Observatory [code 925]
926;Tenagra II Observatory, Nogales;	Tenagra II Observatory, Nogales [code 926]
927;Madison-YRS;	Madison-YRS [code 927]
928;Moonedge Observatory, Northport;	Moonedge Observatory, Northport [code 928]
929;Port Allen;	Port Allen [code 929]
930;S. S. Observatory, Pamatai;	S. S. Observatory, Pamatai [code 930]
931;Puna&#39;auia;	Puna&#39;auia [code 931]
932;John J. McCarthy Obs., New Milford;	John J. McCarthy Obs., New Milford [code 932]
933;Rockland Observatory, Sierra Vista;	Rockland Observatory, Sierra Vista [code 933]
934;Poway Valley;	Poway Valley [code 934]
935;Wyrick Observatory, Haymarket;	Wyrick Observatory, Haymarket [code 935]
936;Ibis Observatory, Manhattan;	Ibis Observatory, Manhattan [code 936]
937;Bradbury Observatory, Stockton-on-Tees;	Bradbury Observatory, Stockton-on-Tees [code 937]
938;Linhaceira;	Linhaceira [code 938]
939;Observatorio Rodeno;	Observatorio Rodeno [code 939]
940;Waterlooville;	Waterlooville [code 940]
941;Observatorio Pla D&#39;Arguines;	Observatorio Pla D&#39;Arguines [code 941]
942;Grantham;	Grantham [code 942]
943;Peverell;	Peverell [code 943]
944;Observatorio Geminis, Dos Hermanas;	Observatorio Geminis, Dos Hermanas [code 944]
945;Observatorio Monte Deva;	Observatorio Monte Deva [code 945]
946;Ametlla de Mar;	Ametlla de Mar [code 946]
947;Saint-Sulpice;	Saint-Sulpice [code 947]
948;Pymoor;	Pymoor [code 948]
949;Durtal;	Durtal [code 949]
950;La Palma;	La Palma [code 950]
951;Highworth;	Highworth [code 951]
952;Marxuquera;	Marxuquera [code 952]
953;Montjoia;	Montjoia [code 953]
954;Teide Observatory;	Teide Observatory [code 954]
955;Sassoeiros;	Sassoeiros [code 955]
956;Observatorio Pozuelo;	Observatorio Pozuelo [code 956]
957;Merignac;	Merignac [code 957]
958;Observatoire de Dax;	Observatoire de Dax [code 958]
959;Ramonville Saint Agne;	Ramonville Saint Agne [code 959]
960;Rolvenden;	Rolvenden [code 960]
961;City Observatory, Calton Hill, Edinburgh;	City Observatory, Calton Hill, Edinburgh [code 961]
962;Gandia;	Gandia [code 962]
963;Werrington;	Werrington [code 963]
964;Southend Bradfield;	Southend Bradfield [code 964]
965;Observacao Astronomica no Algarve, Portimao;	Observacao Astronomica no Algarve, Portimao [code 965]
966;Church Stretton;	Church Stretton [code 966]
967;Greens Norton;	Greens Norton [code 967]
968;Haverhill;	Haverhill [code 968]
969;London-Regents Park;	London-Regents Park [code 969]
970;Chelmsford;	Chelmsford [code 970]
971;Lisbon;	Lisbon [code 971]
972;Dun Echt;	Dun Echt [code 972]
973;Harrow;	Harrow [code 973]
974;Genoa;	Genoa [code 974]
975;Observatorio Astronomico de Valencia;	Observatorio Astronomico de Valencia [code 975]
976;Leamington Spa;	Leamington Spa [code 976]
977;Markree;	Markree [code 977]
978;Conder Brow;	Conder Brow [code 978]
979;South Wonston;	South Wonston [code 979]
980;Lancaster;	Lancaster [code 980]
981;Armagh;	Armagh [code 981]
982;Dunsink Observatory, Dublin;	Dunsink Observatory, Dublin [code 982]
983;San Fernando;	San Fernando [code 983]
984;Eastfield;	Eastfield [code 984]
985;Telford;	Telford [code 985]
986;Ascot;	Ascot [code 986]
987;Isle of Man Observatory, Foxdale;	Isle of Man Observatory, Foxdale [code 987]
988;Glasgow;	Glasgow [code 988]
989;Wilfred Hall Observatory, Preston;	Wilfred Hall Observatory, Preston [code 989]
990;Madrid;	Madrid [code 990]
991;Liverpool (since 1867);	Liverpool (since 1867) [code 991]
992;Liverpool (before 1867);	Liverpool (before 1867) [code 992]
993;Woolston Observatory;	Woolston Observatory [code 993]
994;Godalming;	Godalming [code 994]
995;Durham;	Durham [code 995]
996;Oxford;	Oxford [code 996]
997;Hartwell;	Hartwell [code 997]
998;London-Mill Hill;	London-Mill Hill [code 998]
999;Bordeaux-Floirac;	Bordeaux-Floirac [code 999]
A00;Gravesend;	Gravesend [code A00]
A01;Masia Cal Maciarol Modul 2;	Masia Cal Maciarol Modul 2 [code A01]
A02;Masia Cal Maciarol Modul 8;	Masia Cal Maciarol Modul 8 [code A02]
A03;Torredembarra;	Torredembarra [code A03]
A04;Saint-Caprais;	Saint-Caprais [code A04]
A05;Belesta;	Belesta [code A05]
A06;Mataro;	Mataro [code A06]
A07;Gretz-Armainvilliers;	Gretz-Armainvilliers [code A07]
A08;Malibert;	Malibert [code A08]
A09;Quincampoix;	Quincampoix [code A09]
A10;Observatorio Astronomico de Corbera;	Observatorio Astronomico de Corbera [code A10]
A11;Wormhout;	Wormhout [code A11]
A12;Stazione Astronomica di Sozzago;	Stazione Astronomica di Sozzago [code A12]
A13;Observatoire Naef, Marly;	Observatoire Naef, Marly [code A13]
A14;Les Engarouines Observatory;	Les Engarouines Observatory [code A14]
A15;Josef Bresser Sternwarte, Borken;	Josef Bresser Sternwarte, Borken [code A15]
A16;Tentlingen;	Tentlingen [code A16]
A17;Guidestar Observatory, Weinheim;	Guidestar Observatory, Weinheim [code A17]
A18;Herne;	Herne [code A18]
A19;Koln;	Koln [code A19]
A20;Sogel;	Sogel [code A20]
A21;Irmtraut;	Irmtraut [code A21]
A22;Starkenburg Sternwarte-SOHAS;	Starkenburg Sternwarte-SOHAS [code A22]
A23;Weinheim;	Weinheim [code A23]
A24;New Millennium Observatory, Mozzate;	New Millennium Observatory, Mozzate [code A24]
A25;Nova Milanese;	Nova Milanese [code A25]
A26;Darmstadt;	Darmstadt [code A26]
A27;Eridanus Observatory, Langelsheim;	Eridanus Observatory, Langelsheim [code A27]
A28;Kempten;	Kempten [code A28]
A29;Santa Maria a Monte;	Santa Maria a Monte [code A29]
A30;Crespadoro;	Crespadoro [code A30]
A31;Corcaroli Observatory;	Corcaroli Observatory [code A31]
A32;Panker;	Panker [code A32]
A33;Volkssternwarte Kirchheim;	Volkssternwarte Kirchheim [code A33]
A34;Grosshabersdorf;	Grosshabersdorf [code A34]
A35;Hormersdorf Observatory;	Hormersdorf Observatory [code A35]
A36;Ganda di Aviatico;	Ganda di Aviatico [code A36]
A37;Mueggelheim;	Mueggelheim [code A37]
A38;Campocatino Automated Telescope, Collepardo;	Campocatino Automated Telescope, Collepardo [code A38]
A39;Altenburg;	Altenburg [code A39]
A40;Pieta;	Pieta [code A40]
A41;Rezman Observatory, Kamnik;	Rezman Observatory, Kamnik [code A41]
A42;Gehrden;	Gehrden [code A42]
A43;Inastars Observatory, Potsdam (before 2006);	Inastars Observatory, Potsdam (before 2006) [code A43]
A44;Altschwendt;	Altschwendt [code A44]
A45;Karrenkneul;	Karrenkneul [code A45]
A46;Lelekovice;	Lelekovice [code A46]
A47;Matera;	Matera [code A47]
A48;Povegliano Veronese;	Povegliano Veronese [code A48]
A49;Uppsala-Angstrom;	Uppsala-Angstrom [code A49]
A50;Andrushivka Astronomical Observatory;	Andrushivka Astronomical Observatory [code A50]
A51;Danzig;	Danzig [code A51]
A52;Etyek;	Etyek [code A52]
A53;Peschiera del Garda;	Peschiera del Garda [code A53]
A54;Ostrorog;	Ostrorog [code A54]
A55;Osservatorio Astronomico Vallemare di Borbona;	Osservatorio Astronomico Vallemare di Borbona [code A55]
A56;Parma;	Parma [code A56]
A57;Osservatorio Astron. Margherita Hack, Firenze;	Osservatorio Astron. Margherita Hack, Firenze [code A57]
A58;Observatoire de Chalandray-Canotiers;	Observatoire de Chalandray-Canotiers [code A58]
A59;Karlovy Vary Observatory;	Karlovy Vary Observatory [code A59]
A60;YSTAR-NEOPAT Station, Sutherland;	YSTAR-NEOPAT Station, Sutherland [code A60]
A61;Tortona;	Tortona [code A61]
A62;Aichtal;	Aichtal [code A62]
A63;Cosmosoz Obs., Tassin la Demi Lune;	Cosmosoz Obs., Tassin la Demi Lune [code A63]
A64;Couvaloup de St-Cergue;	Couvaloup de St-Cergue [code A64]
A65;Le Couvent de Lentin;	Le Couvent de Lentin [code A65]
A66;Stazione Osservativa Astronomica, Livorno;	Stazione Osservativa Astronomica, Livorno [code A66]
A67;Chiusa di Pesio;	Chiusa di Pesio [code A67]
A68;Swedenborg Obs., Bockholmwik;	Swedenborg Obs., Bockholmwik [code A68]
A69;Osservatorio Palazzo Bindi Sergardi;	Osservatorio Palazzo Bindi Sergardi [code A69]
A70;Lumijoki;	Lumijoki [code A70]
A71;Stixendorf;	Stixendorf [code A71]
A72;Radebeul Observatory;	Radebeul Observatory [code A72]
A73;Penzing Astrometric Obs., Vienna;	Penzing Astrometric Obs., Vienna [code A73]
A74;Bergen-Enkheim Observatory;	Bergen-Enkheim Observatory [code A74]
A75;Fort Pius Observatory, Barcelona;	Fort Pius Observatory, Barcelona [code A75]
A76;Andromeda Observatory, Miskolc;	Andromeda Observatory, Miskolc [code A76]
A77;Observatoire Chante-Perdrix, Dauban;	Observatoire Chante-Perdrix, Dauban [code A77]
A78;Stia;	Stia [code A78]
A79;Zvezdno Obshtestvo Observatory, Plana;	Zvezdno Obshtestvo Observatory, Plana [code A79]
A80;Lindenberg Observatory;	Lindenberg Observatory [code A80]
A81;Balzaretto Observatory, Rome;	Balzaretto Observatory, Rome [code A81]
A82;Osservatorio Astronomico di Trieste;	Osservatorio Astronomico di Trieste [code A82]
A83;Jakokoski Observatory;	Jakokoski Observatory [code A83]
A84;TUBITAK National Observatory;	TUBITAK National Observatory [code A84]
A85;Odessa Astronomical Observatory, Kryzhanovka;	Odessa Astronomical Observatory, Kryzhanovka [code A85]
A86;Albigneux;	Albigneux [code A86]
A87;Rimbach;	Rimbach [code A87]
A88;Bolzaneto;	Bolzaneto [code A88]
A89;Sterni Observatory, Kempten;	Sterni Observatory, Kempten [code A89]
A90;Sant Gervasi Observatory, Barcelona;	Sant Gervasi Observatory, Barcelona [code A90]
A91;Hankasalmi Observatory;	Hankasalmi Observatory [code A91]
A92;Urseanu Observatory, Bucharest;	Urseanu Observatory, Bucharest [code A92]
A93;Lucca;	Lucca [code A93]
A94;Cormons;	Cormons [code A94]
A95;Taurus Hill Observatory, Varkaus;	Taurus Hill Observatory, Varkaus [code A95]
A96;Klosterneuburg;	Klosterneuburg [code A96]
A97;Stammersdorf;	Stammersdorf [code A97]
A98;Observatory Mazzarot-1, Baran&#39;;	Observatory Mazzarot-1, Baran&#39; [code A98]
A99;Osservatorio del Monte Baldo;	Osservatorio del Monte Baldo [code A99]
B00;Savigny-le-Temple;	Savigny-le-Temple [code B00]
B01;Taunus Observatory, Frankfurt;	Taunus Observatory, Frankfurt [code B01]
B02;Kielce;	Kielce [code B02]
B03;Alter Satzberg, Vienna;	Alter Satzberg, Vienna [code B03]
B04;OAVdA, Saint-Barthelemy;	OAVdA, Saint-Barthelemy [code B04]
B05;Ka-Dar Observatory, Barybino;	Ka-Dar Observatory, Barybino [code B05]
B06;Montseny Astronomical Observatory;	Montseny Astronomical Observatory [code B06]
B07;Camorino;	Camorino [code B07]
B08;San Lazzaro di Savena;	San Lazzaro di Savena [code B08]
B09;Capannoli;	Capannoli [code B09]
B10;Observatoire des Baronnies Provencales, Moydans;	Observatoire des Baronnies Provencales, Moydans [code B10]
B11;Osservatorio Cima Rest, Magasa;	Osservatorio Cima Rest, Magasa [code B11]
B12;Koschny Observatory, Noordwijkerhout;	Koschny Observatory, Noordwijkerhout [code B12]
B13;Osservatorio di Tradate;	Osservatorio di Tradate [code B13]
B14;Ca del Monte;	Ca del Monte [code B14]
B15;Inastars Observatory, Potsdam (since 2006);	Inastars Observatory, Potsdam (since 2006) [code B15]
B16;1st Moscow Gymnasium Observatory, Lipki;	1st Moscow Gymnasium Observatory, Lipki [code B16]
B17;AZT-8 Evpatoria;	AZT-8 Evpatoria [code B17]
B18;Terskol;	Terskol [code B18]
B19;Observatorio Iluro, Mataro;	Observatorio Iluro, Mataro [code B19]
B20;Observatorio Carmelita, Tiana;	Observatorio Carmelita, Tiana [code B20]
B21;Gaisberg Observatory, Schaerding;	Gaisberg Observatory, Schaerding [code B21]
B22;Observatorio d&#39;Ager;	Observatorio d&#39;Ager [code B22]
B23;Fiamene;	Fiamene [code B23]
B24;Cesson;	Cesson [code B24]
B25;Catania;	Catania [code B25]
B26;Observatoire des Terres Blanches, Reillanne;	Observatoire des Terres Blanches, Reillanne [code B26]
B27;Picard Observatory, St. Veit;	Picard Observatory, St. Veit [code B27]
B28;Mandi Observatory, Pagnacco;	Mandi Observatory, Pagnacco [code B28]
B29;L&#39;Ampolla Observatory, Tarragona;	L&#39;Ampolla Observatory, Tarragona [code B29]
B30;Szamotuly-Galowo;	Szamotuly-Galowo [code B30]
B31;Southern African Large Telescope, Sutherland;	Southern African Large Telescope, Sutherland [code B31]
B32;Gelenau;	Gelenau [code B32]
B33;Libbiano Observatory, Peccioli;	Libbiano Observatory, Peccioli [code B33]
B34;Green Island Observatory, Gecitkale;	Green Island Observatory, Gecitkale [code B34]
B35;Bareket Observatory, Macabim;	Bareket Observatory, Macabim [code B35]
B36;Redshed Observatory, Kallham;	Redshed Observatory, Kallham [code B36]
B37;Obs. de L&#39; Ametlla del Valles, Barcelona;	Obs. de L&#39; Ametlla del Valles, Barcelona [code B37]
B38;Santa Mama;	Santa Mama [code B38]
B39;Tradate;	Tradate [code B39]
B40;Skylive Observatory, Catania;	Skylive Observatory, Catania [code B40]
B41;Zlin Observatory;	Zlin Observatory [code B41]
B42;Vitebsk;	Vitebsk [code B42]
B43;Hennef;	Hennef [code B43]
B44;Eygalayes;	Eygalayes [code B44]
B45;Narama;	Narama [code B45]
B46;Sintini Observatory, Alfonsine;	Sintini Observatory, Alfonsine [code B46]
B47;Metsala Observatory, Espoo;	Metsala Observatory, Espoo [code B47]
B48;Bocholt;	Bocholt [code B48]
B49;Paus Observatory, Sabadell;	Paus Observatory, Sabadell [code B49]
B50;Corner Observatory, Durmersheim;	Corner Observatory, Durmersheim [code B50]
B51;Vallauris;	Vallauris [code B51]
B52;Observatorio El Far;	Observatorio El Far [code B52]
B53;Casal Lumbroso, Rome;	Casal Lumbroso, Rome [code B53]
B54;Ager;	Ager [code B54]
B55;Comeglians;	Comeglians [code B55]
B56;Observatorio Sant Pere, Mataro;	Observatorio Sant Pere, Mataro [code B56]
B57;Laietania Observatory, Parets del Valles;	Laietania Observatory, Parets del Valles [code B57]
B58;Polaris Observatory, Budapest;	Polaris Observatory, Budapest [code B58]
B59;Borken;	Borken [code B59]
B60;Deep Sky Observatorium, Bad Bentheim;	Deep Sky Observatorium, Bad Bentheim [code B60]
B61;Valldoreix Obs.,Sant Cugat del Valles;	Valldoreix Obs.,Sant Cugat del Valles [code B61]
B62;Brelingen;	Brelingen [code B62]
B63;Solaris Observatory, Luczanowice;	Solaris Observatory, Luczanowice [code B63]
B64;Slope Rock Observatory, Hyvinkaa;	Slope Rock Observatory, Hyvinkaa [code B64]
B65;Komakallio Observatory, Kirkkonummi;	Komakallio Observatory, Kirkkonummi [code B65]
B66;Osservatorio di Casasco;	Osservatorio di Casasco [code B66]
B67;Sternwarte Mirasteilas, Falera;	Sternwarte Mirasteilas, Falera [code B67]
B68;Mount Matajur Observatory;	Mount Matajur Observatory [code B68]
B69;Owls and Ravens Observatory, Holzgerlingen;	Owls and Ravens Observatory, Holzgerlingen [code B69]
B70;Sant Celoni;	Sant Celoni [code B70]
B71;Observatorio El Vendrell;	Observatorio El Vendrell [code B71]
B72;Soerth;	Soerth [code B72]
B73;Mauren Valley Observatory, Holzgerlingen;	Mauren Valley Observatory, Holzgerlingen [code B73]
B74;Santa Maria de Montmagastrell;	Santa Maria de Montmagastrell [code B74]
B75;Stazione Astronomica Betelgeuse, Magnago;	Stazione Astronomica Betelgeuse, Magnago [code B75]
B76;Sternwarte Schonfeld, Dresden;	Sternwarte Schonfeld, Dresden [code B76]
B77;Schafmatt Observatory, Aarau;	Schafmatt Observatory, Aarau [code B77]
B78;Astrophoton Observatory, Audorf;	Astrophoton Observatory, Audorf [code B78]
B79;Marana Observatory;	Marana Observatory [code B79]
B80;Osservatorio Astronomico Campomaggiore;	Osservatorio Astronomico Campomaggiore [code B80]
B81;Caimari;	Caimari [code B81]
B82;Maidbronn;	Maidbronn [code B82]
B83;Gieres;	Gieres [code B83]
B84;Cyclops Observatory, Oostkapelle;	Cyclops Observatory, Oostkapelle [code B84]
B85;Beilen Observatory;	Beilen Observatory [code B85]
B86;Sternwarte Hagen;	Sternwarte Hagen [code B86]
B87;Banyoles;	Banyoles [code B87]
B88;Bigmuskie Observatory, Mombercelli;	Bigmuskie Observatory, Mombercelli [code B88]
B89;Observatori Astronomic de Tiana;	Observatori Astronomic de Tiana [code B89]
B90;Malina River Observatory, Povoletto;	Malina River Observatory, Povoletto [code B90]
B91;Bollwiller;	Bollwiller [code B91]
B92;Chinon;	Chinon [code B92]
B93;Hoogeveen;	Hoogeveen [code B93]
B94;Petrozavodsk;	Petrozavodsk [code B94]
B95;Achternholt;	Achternholt [code B95]
B96;Brixiis Observatory, Kruibeke;	Brixiis Observatory, Kruibeke [code B96]
B97;Sterrenwacht Andromeda, Meppel;	Sterrenwacht Andromeda, Meppel [code B97]
B98;Siena;	Siena [code B98]
B99;Santa Coloma de Gramenet;	Santa Coloma de Gramenet [code B99]
C00;Velikie Luki;	Velikie Luki [code C00]
C01;Lohrmann-Observatorium, Triebenberg;	Lohrmann-Observatorium, Triebenberg [code C01]
C02;Observatorio Royal Park;	Observatorio Royal Park [code C02]
C03;Clayhole Observatory, Jokela;	Clayhole Observatory, Jokela [code C03]
C04;Kramatorsk;	Kramatorsk [code C04]
C05;Konigsleiten;	Konigsleiten [code C05]
C06;Krasnoyarsk;	Krasnoyarsk [code C06]
C07;Anysllum Observatory, Ager;	Anysllum Observatory, Ager [code C07]
C08;Fiby;	Fiby [code C08]
C09;Rouet;	Rouet [code C09]
C10;Maisoncelles;	Maisoncelles [code C10]
C11;City Observatory, Slany;	City Observatory, Slany [code C11]
C12;Berta Observatory, Sabadell;	Berta Observatory, Sabadell [code C12]
C13;Como;	Como [code C13]
C14;Sky Vistas Observatory, Eichgraben;	Sky Vistas Observatory, Eichgraben [code C14]
C15;ISON-Ussuriysk Observatory;	ISON-Ussuriysk Observatory [code C15]
C16;Isarwinkel Observatory, Bad Tolz;	Isarwinkel Observatory, Bad Tolz [code C16]
C17;Observatorio Joan Roget, Ager;	Observatorio Joan Roget, Ager [code C17]
C18;Frasnes-Lez-Anvaing;	Frasnes-Lez-Anvaing [code C18]
C19;ROSA Observatory, Vaucluse;	ROSA Observatory, Vaucluse [code C19]
C20;Kislovodsk Mtn. Astronomical Stn., Pulkovo Obs.;	Kislovodsk Mtn. Astronomical Stn., Pulkovo Obs. [code C20]
C21;Observatorio Via Lactea, Ager;	Observatorio Via Lactea, Ager [code C21]
C22;Oberwiesenthal;	Oberwiesenthal [code C22]
C23;Olmen;	Olmen [code C23]
C24;Seveso;	Seveso [code C24]
C25;Pulkovo Observatory Station, Campo Imperatore;	Pulkovo Observatory Station, Campo Imperatore [code C25]
C26;Levendaal Observatory, Leiden;	Levendaal Observatory, Leiden [code C26]
C27;Pallerols;	Pallerols [code C27]
C28;Wellinghofen;	Wellinghofen [code C28]
C29;Observatori Astronomic de Les Planes de Son;	Observatori Astronomic de Les Planes de Son [code C29]
C30;Petrozavodsk University Obs., Sheltozero Stn.;	Petrozavodsk University Obs., Sheltozero Stn. [code C30]
C31;Sternwarte Neanderhoehe Hochdahl e.V., Erkrath;	Sternwarte Neanderhoehe Hochdahl e.V., Erkrath [code C31]
C32;Ka-Dar Observatory, TAU Station, Nizhny Arkhyz;	Ka-Dar Observatory, TAU Station, Nizhny Arkhyz [code C32]
C33;Observatorio CEAM, Caimari;	Observatorio CEAM, Caimari [code C33]
C34;Baja Astronomical Observatory;	Baja Astronomical Observatory [code C34]
C35;Terrassa;	Terrassa [code C35]
C36;Starry Wanderer Observatory, Baran&#39;;	Starry Wanderer Observatory, Baran&#39; [code C36]
C37;Stowupland;	Stowupland [code C37]
C38;Varuna Observatory, Cuorgne;	Varuna Observatory, Cuorgne [code C38]
C39;Nijmegen;	Nijmegen [code C39]
C40;Kuban State University Astrophysical Observatory;	Kuban State University Astrophysical Observatory [code C40]
C41;MASTER-II Observatory, Kislovodsk;	MASTER-II Observatory, Kislovodsk [code C41]
C42;Xingming Observatory, Mt. Nanshan;	Xingming Observatory, Mt. Nanshan [code C42]
C43;Hoyerswerda;	Hoyerswerda [code C43]
C44;A. Volta Observatory, Lanzo d&#39;Intelvi;	A. Volta Observatory, Lanzo d&#39;Intelvi [code C44]
C45;La Giustiniana;	La Giustiniana [code C45]
C46;Horizon Observatory, Petropavlovsk;	Horizon Observatory, Petropavlovsk [code C46]
C47;Nonndorf;	Nonndorf [code C47]
C48;Sayan Solar Observatory, Irkutsk;	Sayan Solar Observatory, Irkutsk [code C48]
C60;Argelander Institute for Astronomy Obs., Bonn;	Argelander Institute for Astronomy Obs., Bonn [code C60]
C61;Chelles;	Chelles [code C61]
C62;Eurac Observatory, Bolzano;	Eurac Observatory, Bolzano [code C62]
C63;Giuseppe Piazzi Observatory, Ponte in Valtellina;	Giuseppe Piazzi Observatory, Ponte in Valtellina [code C63]
C64;Puchenstuben;	Puchenstuben [code C64]
C65;Observatori Astronomic del Montsec;	Observatori Astronomic del Montsec [code C65]
C66;Observatorio El Cielo de Consell;	Observatorio El Cielo de Consell [code C66]
C67;Gnevsdorf;	Gnevsdorf [code C67]
C68;Ellinogermaniki Agogi Observatory, Pallini;	Ellinogermaniki Agogi Observatory, Pallini [code C68]
C69;Bayerwald Sternwarte, Neuhuette;	Bayerwald Sternwarte, Neuhuette [code C69]
C70;Uiterstegracht Station, Leiden;	Uiterstegracht Station, Leiden [code C70]
C71;Sant Marti Sesgueioles;	Sant Marti Sesgueioles [code C71]
C72;Palestrina;	Palestrina [code C72]
C73;Galati Observatory;	Galati Observatory [code C73]
C74;Observatorio El Teatrillo de Lyra, Ager;	Observatorio El Teatrillo de Lyra, Ager [code C74]
C75;Whitestar Observatory, Borgobello;	Whitestar Observatory, Borgobello [code C75]
C76;Observatorio Estels, Ager;	Observatorio Estels, Ager [code C76]
C77;Bernezzo Observatory;	Bernezzo Observatory [code C77]
C78;Martin S. Kraar Observatory, Rehovot;	Martin S. Kraar Observatory, Rehovot [code C78]
C79;Roser Observatory, Blanes;	Roser Observatory, Blanes [code C79]
C80;Don Astronomical Observatory, Rostov-on-Don;	Don Astronomical Observatory, Rostov-on-Don [code C80]
C81;Dolomites Astronomical Observatory;	Dolomites Astronomical Observatory [code C81]
C82;Osservatorio Astronomico Nastro Verde, Sorrento;	Osservatorio Astronomico Nastro Verde, Sorrento [code C82]
C83;Badalozhnyj Observatory;	Badalozhnyj Observatory [code C83]
C84;Badalona;	Badalona [code C84]
C85;Observatorio Cala d&#39;Hort, Ibiza;	Observatorio Cala d&#39;Hort, Ibiza [code C85]
C86;Blanes;	Blanes [code C86]
C87;Rimbach;	Rimbach [code C87]
C88;Montarrenti Observatory, Siena;	Montarrenti Observatory, Siena [code C88]
C89;Astronomical Station Vidojevica;	Astronomical Station Vidojevica [code C89]
C90;Vinyols;	Vinyols [code C90]
C91;Montevenere Observatory, Monzuno;	Montevenere Observatory, Monzuno [code C91]
C92;Valdicerro Observatory, Loreto;	Valdicerro Observatory, Loreto [code C92]
C93;Bellavista Observatory, L&#39;Aquila;	Bellavista Observatory, L&#39;Aquila [code C93]
C94;MASTER-II Observatory, Tunka;	MASTER-II Observatory, Tunka [code C94]
C95;SATINO Remote Observatory, Haute Provence;	SATINO Remote Observatory, Haute Provence [code C95]
C96;OACL Observatory, Mosciano Sant Angelo;	OACL Observatory, Mosciano Sant Angelo [code C96]
C97;Al-Fulaij Observatory, Oman;	Al-Fulaij Observatory, Oman [code C97]
C98;Osservatorio Casellina, Scandicci;	Osservatorio Casellina, Scandicci [code C98]
C99;Observatori Can Roig, Llagostera;	Observatori Can Roig, Llagostera [code C99]
D00;ISON-Kislovodsk Observatory;	ISON-Kislovodsk Observatory [code D00]
D01;Andean Northern Observatory, Nummi-Pusula;	Andean Northern Observatory, Nummi-Pusula [code D01]
D02;Observatori Petit Sant Feliu;	Observatori Petit Sant Feliu [code D02]
D03;Rantiga Osservatorio, Tincana;	Rantiga Osservatorio, Tincana [code D03]
D04;Krasnodar;	Krasnodar [code D04]
D05;ISON-Terskol Observatory;	ISON-Terskol Observatory [code D05]
D06;Associazione Tuscolana di Astronomia, Domatore;	Associazione Tuscolana di Astronomia, Domatore [code D06]
D07;Wegberg;	Wegberg [code D07]
D08;Ghezz Observatory, Leontica;	Ghezz Observatory, Leontica [code D08]
D09;Observatory Gromme, Maasmechelen;	Observatory Gromme, Maasmechelen [code D09]
D14;Nanchuan Observatory, Guangzhou;	Nanchuan Observatory, Guangzhou [code D14]
D16;Po Leung Kuk Observatory, Tuen Mun;	Po Leung Kuk Observatory, Tuen Mun [code D16]
